match_id,season,gameweek,status,home_team,away_team,home_elo,away_elo,elo_diff,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
7298,2006/07,,finished,stade-rennais,rc-lens,1538.4,1554.8,-16.399999999999864,2.4,2.6,1.8,2.6,1.8,73.39,253175000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
2,2000/01,,finished,olympique-de-marseille,paris-saint-germain,1500.0,1500.0,0.0,0.8,0.8,1.6,0.8,1.6,73.85,58850000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,A
3,2000/01,,finished,rc-lens,olympique-de-marseille,1500.0,1484.0,16.0,1.6,1.6,1.6,1.6,1.6,72.84,82750000,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,D
4,1999/00,,finished,paris-saint-germain,olympique-de-marseille,1516.0,1484.7,31.299999999999955,2.4,2.0,0.4,2.0,0.4,0.0,0,0.8,0.8,1.6,0.8,1.6,73.85,58850000,,,,H
5,1999/00,,finished,olympique-lyonnais,stade-de-reims,1500.0,1500.0,0.0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,0.8,0.4,1.0,0.4,1.0,69.92,48600000,,,,H
6,2000/01,,finished,olympique-lyonnais,rc-lens,1516.0,1499.3,16.700000000000045,2.0,2.0,1.4,2.0,1.4,72.74,89500000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
7,1999/00,,finished,stade-de-reims,rc-lens,1484.0,1484.0,0.0,0.8,0.4,1.0,0.4,1.0,69.92,48600000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,D
8,2000/01,,finished,stade-de-reims,olympique-lyonnais,1484.0,1531.2,-47.200000000000045,0.8,0.4,1.0,0.4,1.0,69.92,48600000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,A
9,1999/00,,finished,olympique-de-marseille,olympique-lyonnais,1470.2,1545.1,-74.89999999999986,0.8,0.8,1.6,0.8,1.6,73.85,58850000,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,A
10,2000/01,,finished,paris-saint-germain,olympique-lyonnais,1530.6,1557.7,-27.100000000000136,2.4,2.0,0.4,2.0,0.4,0.0,0,2.0,2.0,1.4,2.0,1.4,72.74,89500000,,,,H
11,1999/00,,finished,fc-metz,stade-rennais,1484.0,1500.0,-16.0,0.0,0.0,0.0,0.0,0.0,67.29,41450000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,D
12,1999/00,,finished,rc-strasbourg,rc-lens,1516.0,1484.0,32.0,1.4,1.4,1.6,1.4,1.6,69.0,72100000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,H
13,1999/00,,finished,rc-lens,as-monaco,1469.5,1500.0,-30.5,1.6,1.6,1.6,1.6,1.6,72.84,82750000,1.6,1.6,1.4,1.6,1.4,73.63,257100000,,,,H
14,1999/00,,finished,fc-metz,aj-auxerre,1484.7,1500.0,-15.299999999999955,0.0,0.0,0.0,0.0,0.0,67.29,41450000,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,H
15,1999/00,,finished,stade-rennais,paris-saint-germain,1499.3,1547.8,-48.5,2.4,2.6,1.8,2.6,1.8,73.39,253175000,2.4,2.0,0.4,2.0,0.4,0.0,0,,,,A
16,1999/00,,finished,fc-nantes,rc-lens,1500.0,1486.9,13.099999999999909,0.8,1.0,1.4,1.0,1.4,69.58,54600000,1.6,1.6,1.6,1.6,1.6,72.84,82750000,,,,A
17,1999/00,,finished,paris-saint-germain,fc-metz,1561.6,1501.4,60.19999999999982,2.4,2.0,0.4,2.0,0.4,0.0,0,0.0,0.0,0.0,0.0,0.0,67.29,41450000,,,,H
18,1999/00,,finished,olympique-lyonnais,stade-rennais,1540.4,1485.5,54.90000000000009,2.0,2.0,1.4,2.0,1.4,72.74,89500000,2.4,2.6,1.8,2.6,1.8,73.39,253175000,,,,D
