match_id,season,gameweek,home_team,away_team,home_form_5,home_goals_scored_5,home_goals_conceded_5,home_offensive_str,home_defensive_str,home_avg_overall,home_squad_value,away_form_5,away_goals_scored_5,away_goals_conceded_5,away_offensive_str,away_defensive_str,away_avg_overall,away_squad_value,odds_prob_home,odds_prob_draw,odds_prob_away,result
9419,2024/25,1.0,le-havre,paris-saint-germain,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.135,0.2058,0.7042,A
9420,2024/25,1.0,stade-brestois,olympique-de-marseille,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.85,58850000,0.3472,0.2941,0.4065,A
9421,2024/25,1.0,stade-de-reims,lille-osc,0.0,0.0,0.0,0.0,0.0,69.92,48600000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.3003,0.2933,0.4545,A
9422,2024/25,1.0,as-monaco,saint-etienne,0.0,0.0,0.0,0.0,0.0,73.63,257100000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6667,0.2155,0.1639,H
9423,2024/25,1.0,aja-auxerre,ogc-nice,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,73.28,89200000,0.3185,0.3115,0.4184,H
9424,2024/25,1.0,montpellier-hsc,rc-strasbourg,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,69.0,72100000,0.4808,0.295,0.2747,D
9425,2024/25,1.0,toulouse-fc,fc-nantes,0.0,0.0,0.0,0.0,0.0,68.76,60900000,0.0,0.0,0.0,0.0,0.0,69.58,54600000,0.4808,0.303,0.2667,D
9426,2024/25,1.0,angers-sco,rc-lens,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,72.84,82750000,0.1869,0.2551,0.6061,A
9427,2024/25,1.0,stade-rennais,olympique-lyonnais,0.0,0.0,0.0,0.0,0.0,73.39,253175000,0.0,0.0,0.0,0.0,0.0,72.74,89500000,0.4237,0.2899,0.339,H
9428,2024/25,2.0,paris-saint-germain,montpellier-hsc,3.0,4.0,1.0,4.0,1.0,0.0,0,1.0,1.0,1.0,1.0,1.0,0.0,0,0.813,0.1443,0.0894,H
9429,2024/25,2.0,olympique-lyonnais,as-monaco,0.0,0.0,3.0,0.0,3.0,72.74,89500000,3.0,1.0,0.0,1.0,0.0,73.63,257100000,0.3984,0.2667,0.3831,A
9430,2024/25,2.0,lille-osc,angers-sco,3.0,2.0,0.0,2.0,0.0,0.0,0,0.0,0.0,1.0,0.0,1.0,0.0,0,0.7407,0.2053,0.1064,H
9431,2024/25,2.0,saint-etienne,le-havre,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,1.0,4.0,1.0,4.0,0.0,0,0.4785,0.2933,0.277,A
9432,2024/25,2.0,rc-lens,stade-brestois,3.0,1.0,0.0,1.0,0.0,72.84,82750000,0.0,1.0,5.0,1.0,5.0,0.0,0,0.5587,0.271,0.2198,H
9433,2024/25,2.0,fc-nantes,aja-auxerre,1.0,0.0,0.0,0.0,0.0,69.58,54600000,3.0,2.0,1.0,2.0,1.0,0.0,0,0.4386,0.3003,0.3135,H
9434,2024/25,2.0,ogc-nice,toulouse-fc,0.0,1.0,2.0,1.0,2.0,73.28,89200000,1.0,0.0,0.0,0.0,0.0,68.76,60900000,0.5405,0.2809,0.2288,D
9435,2024/25,2.0,rc-strasbourg,stade-rennais,1.0,1.0,1.0,1.0,1.0,69.0,72100000,3.0,3.0,0.0,3.0,0.0,73.39,253175000,0.3205,0.2857,0.4425,H
9436,2024/25,2.0,olympique-de-marseille,stade-de-reims,3.0,5.0,1.0,5.0,1.0,73.85,58850000,0.0,0.0,2.0,0.0,2.0,69.92,48600000,0.6452,0.2278,0.1761,D
9437,2024/25,3.0,olympique-lyonnais,rc-strasbourg,0.0,0.0,2.5,0.0,2.5,72.74,89500000,2.0,2.0,1.0,2.0,1.0,69.0,72100000,0.5319,0.266,0.2469,H
9438,2024/25,3.0,stade-brestois,saint-etienne,0.0,0.5,3.5,0.5,3.5,0.0,0,0.0,0.0,1.5,0.0,1.5,0.0,0,0.5495,0.266,0.232,H
9439,2024/25,3.0,montpellier-hsc,fc-nantes,0.5,0.5,3.5,0.5,3.5,0.0,0,2.0,1.0,0.0,1.0,0.0,69.58,54600000,0.4386,0.2941,0.3155,A
9440,2024/25,3.0,toulouse-fc,olympique-de-marseille,1.0,0.5,0.5,0.5,0.5,68.76,60900000,2.0,3.5,1.5,3.5,1.5,73.85,58850000,0.2545,0.2703,0.5208,A
